IČO,Název partnera,OV,KMEN
3,Roudnice nad Labem,Belo,2
13,Ostrov nad Ohří,Kopecký,3
36,Český Krumlov,Plucha,4
57,Vyškov,Veselý,6
62,Žatec,Kopecký,3
74,Rosice,Veselý,6
76,Most,Kopecký,3
88,Havlíčkův Brod,Plucha,4
102,Dubí,Belo,2
114,Prostějov,Jadrníček,5
140,Liberec IV.,Belo,2
147,Jihlava,Plucha,4
156,Vratimov,Jadrníček,5
169,Mirovice,Plucha,4
186,Klášterec nad Ohří,Kopecký,3
191,Pec pod Sněžkou,Belo,2
194,Kladno,Kopecký,3
195,Brno,Veselý,6
208,Havířov,Jadrníček,5
209,Nová Bystřice,Plucha,4
239,Frýdlant,Belo,2
254,Příbram,Plucha,4
270,Cheb,Kopecký,3
272,Benešov,Plucha,4
295,Děčín,Belo,2
315,Prostřední Bečva,Jadrníček,5
316,Vsetín,Jadrníček,5
321,Velká Bíteš ,Veselý,6
333,Litoměřice,Belo,2
371,Krupka,Belo,2
373,Havířov ,Jadrníček,5
411,Vsetín,Jadrníček,5
416,Slaný,Kopecký,3
422,Liberec,Belo,2
444,Vimperk,Plucha,4
448,Šternberk,Jadrníček,5
454,Břeclav,Veselý,6
462,Prostějov,Jadrníček,5
477,Brno,Veselý,6
495,Moravský Beroun,Jadrníček,5
499,Praha ,Belo,2
502,Ústí nad Labem,Belo,2
509,Hradec Králové,Veselý,6
517,Hostomice nad Bílinou,Belo,2
550,Karlovy Vary ,Kopecký,3
552,Chodov,Kopecký,3
563,Horní Lomná,Jadrníček,5
571,Kašperské Hory,Plucha,4
573,Kralovice,Kopecký,3
574,Hradec Králové ,Veselý,6
577,Jablonec nad Nisou,Belo,2
582,Kladno,Kopecký,3
585,Benešov,Plucha,4
597,Nové Strašecí,Kopecký,3
606,Opava,Jadrníček,5
607,Ostrava,Jadrníček,5
612,Veselí nad Lužnicí,Plucha,4
618,Hustopeče,Veselý,6
632,Frýdek - Místek,Jadrníček,5
634,Brno,Veselý,6
636,Chropyně,Jadrníček,5
637,Jeseník,Jadrníček,5
662,Radomyšl,Plucha,4
663,Praha,Belo,2
668,Uherský Brod,Veselý,6
674,Jablonec nad Nisou,Belo,2
679,Soběslav,Plucha,4
685,Rožnov pod Radhoštěm,Jadrníček,5
689,Nové Město na Moravě,Veselý,6
690,Bzenec,Veselý,6
695,Strakonice,Plucha,4
696,Hlučín,Jadrníček,5
700,Svatý Kříž,Kopecký,3
702,Brno,Veselý,6
707,Zlín,Veselý,6
715,Ústí nad Labem,Belo,2
716,Ústí nad Labem,Belo,2
718,Orlová,Jadrníček,5
724,Slušovice,Veselý,6
746,Ostrava,Jadrníček,5
750,Ostrava,Jadrníček,5
758,Praha,Belo,2
766,Brandýsek,Kopecký,3
772,Dvůr Králové,Veselý,6
780,Třinec,Jadrníček,5
804,Strážný,Plucha,4
805,Nýřany,Kopecký,3
806,Bilina,Belo,2
807,Liberec,Belo,2
825,Chlumec,Belo,2
828,Praha,Belo,2
829,České Budějovice,Plucha,4
832,Vyškov,Veselý,6
835,Chomutov,Kopecký,3
836,Liberec,Belo,2
848,Třinec,Jadrníček,5
858,Chodov,Kopecký,3
860,Hořice,Veselý,6
862,Třinec,Jadrníček,5
864,Most,Kopecký,3
867,Týn nad Vltavou,Plucha,4
873,Vsetín,Jadrníček,5
884,Konice,Veselý,6
890,Jemnice,Plucha,4
894,Holešov,Veselý,6
895,Otrokovice,Veselý,6
897,Brno,Veselý,6
901,Polička,Jadrníček,5
902,Břeclav,Veselý,6
907,Znojmo,Veselý,6
908,Libočany,Kopecký,3
910,Jaroměř,Veselý,6
914,Sedlčany,Plucha,4
931,Frýdek - Místek,Jadrníček,5
932,Praha ,Belo,2
934,Teplice,Belo,2
937,Havlíčkův Brod,Plucha,4
947,Vsetín,Jadrníček,5
957,Kadaň,Kopecký,3
963,České Budějovice,Plucha,4
966,Vejprty,Kopecký,3
967,Hostivice,Plucha,4
969,Popice,Veselý,6
970,Brno,Veselý,6
979,Cheb,Kopecký,3
983,Děčín,Belo,2
985,Roztoky,Plucha,4
986,Úštěk,Belo,2
990,Židlochovice,Veselý,6
993,Písek,Plucha,4
994,Letošov,Veselý,6
995,Most,Kopecký,3
996,Chotěboř,Plucha,4
1001,Zlaté Hory,Jadrníček,5
1002,Město Albrechtice,Jadrníček,5
1003,Jindřichov ve Slezsku,Jadrníček,5
1004,Tábor,Plucha,4
1008,Lenora,Plucha,4
1012,Miletín,Veselý,6
1013,Kladno,Kopecký,3
1015,Rájec – Jestřebí,Veselý,6
1019,Třinec,Jadrníček,5
1021,Karviná,Jadrníček,5
1022,Mšené - Lázně,Belo,2
1024,Aš,Kopecký,3
1025,Nejdek,Kopecký,3
1028,Předměřice nad Labem,Veselý,6
1034,Ústí nad Labem,Belo,2
1036,Nový Bydžov,Veselý,6
1039,Tachov,Kopecký,3
1040,Tachov,Kopecký,3
1041,Planá u Mariánských Lázní,Kopecký,3
1042,Velké Popovice,Belo,2
1044,Planá u Mariánských Lázní,Kopecký,3
1045,Ústí nad Labem,Belo,2
1047,Zábřeh,Jadrníček,5
1049,Havířov,Jadrníček,5
1050,Tachov ,Kopecký,3
1051,Přerov,Jadrníček,5
1054,Červené Pečky,Plucha,4
1055,Teplice,Belo,2
1059,Brno,Veselý,6
1061,Brno,Veselý,6
1065,Ústí nad Labem,Belo,2
1067,Ostrava,Jadrníček,5
1069,Mariánské Lázně,Kopecký,3
1072,Mělník,Belo,2
1077,Příbram,Plucha,4
1078,Příbram,Plucha,4
1081,Liberec,Belo,2
1082,Louňovice pod Blaníkem,Plucha,4
1083,Kopidlno,Belo,2
1105,Turnov,Belo,2
1109,Třinec,Jadrníček,5
1113,Tučapy,Plucha,4
1114,Smečno,Kopecký,3
1118,Teplice,Belo,2
1120,Třinec,Jadrníček,5
1129,Hodonín,Veselý,6
1131,Líně u Plzně,Kopecký,3
1133,Ostrava,Jadrníček,5
1134,Strakonice,Plucha,4
1137,Louny,Kopecký,3
1138,Český Těšín,Jadrníček,5
1140,Bohušovice nad Ohří,Belo,2
1142,Ostrava,Jadrníček,5
1145,Jablunkov,Jadrníček,5
1148,Opava,Jadrníček,5
1150,Klášterec nad Ohří,Kopecký,3
1152,Zlín,Veselý,6
1157,Netolice,Plucha,4
1159,Mladá Vožice,Plucha,4
1161,Praha 6,Belo,2
1168,Týnec nad Sázavou,Plucha,4
1170,Slavonice,Plucha,4
1175,Roudnice nad Labem,Belo,2
1176,Roudnice nad Labem,Belo,2
1177,Štětí,Belo,2
1186,Praha,Belo,2
1193,Chomutov,Kopecký,3
1197,Praha,Belo,2
1204,Žatec,Kopecký,3
1207,Roudnice nad Labem,Belo,2
1212,Jemnice,Plucha,4
1214,Moravská Třebová,Jadrníček,5
1215,Český Brod,Plucha,4
1216,Poděbrady,Plucha,4
1218,Benešov,Plucha,4
1219,Vimperk,Plucha,4
1220,Malé Žernoseky,Belo,2
1223,Varnsdorf,Belo,2
1227,Liberec,Belo,2
1228,Jičín,Belo,2
1230,Dražice,Plucha,4
1236,Děčín,Belo,2
1237,Brno,Veselý,6
1238,Praha,Belo,2
1243,Třebíč,Veselý,6
1244,Tábor,Plucha,4
1246,Štětí,Belo,2
1255,Teplice,Belo,2
1256,Proboštov,Belo,2
1258,Kojetín,Jadrníček,5
1259,Železná Ruda,Plucha,4
1260,Rábí,Plucha,4
1261,Most,Kopecký,3
1262,Praha,Belo,2
1263,Praha,Belo,2
1265,Havlíčkův Brod,Plucha,4
1266,Ostrava,Jadrníček,5
1268,Benešov,Plucha,4
1269,Praha,Belo,2
1272,Praha,Belo,2
1274,Plzeň,Kopecký,3
1275,Rokycany,Kopecký,3
1276,Teplice,Belo,2
1277,Litvínov,Kopecký,3
1279,Tanvald,Belo,2
1280,Chomutov,Kopecký,3
1283,Pečky,Plucha,4
1286,Lovosice,Belo,2
1287,Jesenice,Kopecký,3
1288,Olomouc,Jadrníček,5
1292,Varnsdorf,Belo,2
1298,Liberec,Belo,2
1300,Děčín,Belo,2
1306,Dolní Podluží,Belo,2
1312,Karlovy Vary ,Belo,2
1316,Vsetín,Jadrníček,5
1318,Ústí nad Labem,Belo,2
1319,Ústí nad Labem,Belo,2
1323,Sokolov,Kopecký,3
1324,Sokolov,Kopecký,3
1325,Stříbro,Kopecký,3
1331,Benešov,Plucha,4
1332,Poděbrady,Plucha,4
1333,Krupka,Belo,2
1334,Ústí nad Labem,Belo,2


