Afghánistán ;93
Albánie ;355
Alžírsko ;213
Americká Samoa ;684
Andorra ;376
Angola ;244
Argentina ;54
Arménie ;374
Aruba ;297
Ascension ;247
Austrálie ;61
Ázerbájdžán ;994
Bahrajn ;973
Bangladéš ;880
Belgie ;32
Belize ;501
Bělorusko ;375
Benin ;229
Bhútán ;975
Bolívie ;591
Bosna a Hercegovina ;387
Botswana ;267
Brazílie ;55
Brunej ;673
Bulharsko ;359
Burkina Faso ;226
Burundi ;257
Čad ;235
Česká republika ;420
Chile ;56
Chorvatsko ;385
Čína ;86
Cookovy ostrovy ;682
Dánsko ;45
Demokratická republika Kongo ;243
Diego Garcia ;246
Džibuti ;253
Egypt ;20
Ekvádor ;593
Eritrea ;291
Estonsko ;372
Etiopie ;251
Faerské ostrovy ;298
Falklandy ;500
Fidži ;679
Filipíny ;63
Finsko ;358
Francie ;33
Francouzská Guayana ;594
Francouzská Polynésie ;689
Gabon ;241
Gambie ;220
Ghana ;233
Gibraltar ;350
Grónsko ;299
Gruzie ;995
Guadeloupe ;590
Guatemala ;502
Guinea ;224
Guinea-Bissau ;245
Guyana ;592
Haiti ;509
Honduras ;504
Hongkong ;852
Indie ;91
Indonésie ;62
Irák ;964
Írán ;96
Irsko ;353
Island ;354
Itálie ;39
Izrael ;972
Japonsko ;81
Jemen ;967
Jihoafrická republika ;27
Jordánsko ;962
Kambodža ;855
Kamerun ;237
Kanada ;1
Kapverdy ;238
Katar ;974
Kazachstán ;7
Keňa ;254
Kiribati ;686
Kolumbie ;57
Komory ;269
Kongo ;242
Korejská lidově demokratická republika ;850
Korejská republika ;82
Kosovo ;3774, 37745, 3777 
Kostarika ;506
Kuba ;53
Kuvajt ;965
Kypr ;357
Kyrgyzstán ;996
Laos ;856
Lesotho ;266
Libanon ;961
Libérie ;231
Libye ;218
Lichtenštejnsko ;423
Litva ;370
Lotyšsko ;371
Lucembursko ;352
Macao ;853
Madagaskar ;261
Maďarsko ;36
Makedonie ;389
Malajsie ;60
Malawi ;265
Maledivy ;960
Mali ;223
Malta ;356
Maroko ;212
Marshallovy ostrovy ;692
Martinique ;596
Mauricius ;230
Mauritánie ;222
Mayotte ;269
Mexiko ;52
Mikronésie ;691
Moldavsko ;373
Monako ;377
Mongolsko ;976
Mosambik ;258
Myanmar ;95
Namibie ;264
Nauru ;674
Německo ;49
Nepál ;977
Niger ;227
Nigérie ;234
Nikaragua ;505
Niue ;683
Nizozemské Antily ;599
Nizozemsko ;31
Norfolk ;672
Norsko ;47
Nová Kaledonie ;687
Nový Zéland ;64
Omán ;968
Pákistán ;92
Palau ;680
Palestina ;970
Panama ;507
Papua Nová Guinea ;675
Paraguay ;595
Peru ;51
Pobřeží slonoviny ;225
Polsko ;48
Portugalsko ;351
Rakousko ;43
Řecko ;30
Reunion ;262
Rovníková Guinea ;240
Rumunsko ;40
Rusko ;7
Rwanda ;250
Šalamounovy ostrovy ;677
Salvador ;503
San Marino ;378
Saúdská Arábie ;966
Senegal ;221
Seychely ;248
Sierra Leone ;232
Singapur ;65
Slovensko ;421
Slovinsko ;386
Somálsko ;252
Španělsko ;34
Spojené Arabské Emiráty ;971
Srbsko a Černá Hora ;381
Srí Lanka ;94
Súdán ;249
Surinam ;597
Svatá Helena ;290
Svatý Petr a Michal ;508
Svatý Tomáš a Princův ostrov ;239
Svazijsko ;268
Švédsko ;46
Švýcarsko ;41
Sýrie ;963
Tádžikistán ;992
Taiwan ;886
Tanzanie ;255
Thajsko ;66
Togo ;228
Tokelau ;690
Tonga ;676
Tunisko ;216
Turecko ;90
Turkmenistán ;993
Tuvalu ;688
Uganda ;256
Ukrajina ;380
Uruguay ;598
USA ;1
Uzbekistán ;998
Vanuatu ;978
Velká Británie ;44
Venezuela ;58
Vietnam ;84
Východní Timor ;870
Wallis a Futuna ;681
Zambie ;260
Západní Samoa ;685
Zimbabwe ;263
